probeset_id	gene_symbol
207965_at NEUROG3
212637_s_at WWP1
214382_at UNC93A
220364_at FLJ11235
221035_s_at TEX14
221294_at GPR21
222025_s_at OPLAH
200694_s_at DDX24
202561_at TNKS
203358_s_at EZH2
205242_at CXCL13
208350_at CSN1S1
209702_at FTO
210745_at ONECUT1
219327_s_at GPRC5C
203375_s_at TPP2
204396_s_at GRK5
209498_at CEACAM1
209733_at MID2
210263_at KCNF1
213512_at C14orf79
221384_at UCP1
221866_at TFEB
200995_at IPO7
204510_at CDC7
206299_at FAM155B
212918_at RECQL
213302_at PFAS
219815_at GAL3ST4
44702_at SYDE1
205407_at RECK
214431_at GMPS
202892_at CDC23
207884_at GUCY2D
212310_at MIA3
212765_at CAMSAP2
218079_s_at GGNBP2
221931_s_at SEH1L
201022_s_at DSTN
201324_at EMP1
203062_s_at MDC1
204730_at RIMS3
204978_at CLASRP
214214_s_at C1QBP
218418_s_at KANK2
220459_at MCM3AP-AS1
205497_at ZNF175
208083_s_at ITGB6
202726_at LIG1
203050_at TP53BP1
203458_at SPR
203616_at POLB
205759_s_at SULT2B1
205830_at CLGN
208776_at PSMD11
212531_at LCN2
214867_at LOC100507331
218757_s_at UPF3B
204613_at PLCG2
206465_at ACSBG1
212846_at RRP1B
214268_s_at MTMR4
218807_at VAV3
219062_s_at ZCCHC2
202709_at FMOD
206271_at TLR3
221421_s_at ADAMTS12
202713_s_at KIAA0391
203675_at NUCB2
204068_at STK3
204175_at ZNF593
204949_at ICAM3
205626_s_at CALB1
211373_s_at PSEN2
202187_s_at PPP2R5A
204695_at CDC25A
206774_at FRMPD1
214156_at MYRIP
218143_s_at SCAMP2
222005_s_at GNG3
201061_s_at STOM
202314_at CYP51A1
212600_s_at UQCRC2
212858_at PAQR4
213010_at PRKCDBP
219053_s_at VPS37C
221221_s_at KLHL3
221367_at MOS
202490_at IKBKAP
213547_at CAND2
222052_at C19orf54
200870_at STRAP
203801_at MRPS14
204067_at SUOX
204808_s_at TMEM5
206205_at MPHOSPH9
212275_s_at SRCAP
216840_s_at LAMA2
218471_s_at BBS1
218856_at TNFRSF21
219897_at RNF122
221215_s_at RIPK4
55662_at C10orf76
201306_s_at ANP32B
205498_at GHR
206027_at S100A3
209124_at MYD88
213661_at PAMR1
218979_at RMI1
220308_at CCDC19
221609_s_at WNT6
206378_at SCGB2A2
219738_s_at PCDH9
202870_s_at CDC20
204137_at GPR137B
207643_s_at TNFRSF1A
213001_at ANGPTL2
213845_at GRIK2
214987_at GAB1
221364_at GRID2
222379_at KCNE4
200697_at HK1
203037_s_at MTSS1
207727_s_at MUTYH
210799_at HTR1B
214135_at CLDN18
214764_at RRP15
214853_s_at SHC1
220890_s_at DDX47
201934_at WDR82
204265_s_at GPSM3
207054_at IMPG1
210252_s_at MADD
219127_at PRR15L
221232_s_at ANKRD2
206402_s_at NPFF
212824_at FUBP3
213020_at GOSR1
220659_s_at C7orf43
203911_at RAP1GAP
204282_s_at FARS2
218988_at SLC35E3
203238_s_at NOTCH3
204224_s_at GCH1
206935_at PCDH8
207539_s_at IL4
210262_at CRISP2
212635_at TNPO1
216326_s_at HDAC3
218277_s_at DHX40
220068_at VPREB3
221485_at B4GALT5
200768_s_at MAT2A
201443_s_at ATP6AP2
203343_at UGDH
217286_s_at NDRG3
44822_s_at MIER2
202159_at FARSA
204617_s_at ACD
205919_at HBE1
