"standard_error_unadjusted"	"coefficient_unadjusted"	"fold_change_up_or_down_regulated_unadjusted"	"p_unadjusted"	"standard_error_adjusted"	"coefficient_adjusted"	"fold_change_up_or_down_regulated_adjusted"	"p_adjusted"
"200075_s_at"	0.10547533772615	-0.15750793067737	-1.11535883479394	0.140683502831412	0.0463027134910235	0.0210748934750668	1.01471522131425	0.651008402585677
"200076_s_at"	0.0283831602189843	0.00655078618201845	1.0045509833851	0.818269938556226	0.0248848687625509	-0.0222564124717424	-1.0155465795306	0.375493315937732
"200077_s_at"	0.0669512565078531	-0.137301645480314	-1.09984608628018	0.0447392034513043	0.0186553613164751	-0.0392687180203942	-1.02759282216349	0.0404460498713904
"200078_s_at"	0.153987624762267	-0.245410351813187	-1.18542989980181	0.11634654405049	0.0291498795393047	-0.0250831376771548	-1.01753832773471	0.393710705894334
"200079_s_at"	0.0747955591631118	-0.0385438560216487	-1.02707665216623	0.608253016938549	0.0320334146743499	-0.072264251552534	-1.05136546503762	0.0285746601938557
"200080_s_at"	0.068247376805147	0.0639490243825846	1.04532316451633	0.352569149241744	0.0268804220464904	0.00526189897585311	1.00365392982406	0.845613735528382
"200081_s_at"	0.0702631273030465	0.015540822177129	1.01083030478791	0.825715715729375	0.0428408861752676	-0.0311057717610497	-1.02179499327478	0.471245811355484
"200082_s_at"	0.0935779976529779	-0.037922194226011	-1.02663417697022	0.686761752925776	0.0554689152558808	-0.0276304582932729	-1.01933654976809	0.620624352791378
"200083_at"	0.0591534349724435	-0.0461681674708563	-1.03251888383466	0.438227643956903	0.0434263510496716	-0.0127832408731212	-1.00890003928397	0.769721717142723
"200084_at"	0.0702535276842276	-0.0189352130716274	-1.01321139897803	0.788464687768055	0.0279819094968437	-0.038097373873733	-1.0267588438802	0.179583562031667
"200085_s_at"	0.0757475163191858	0.0299447160504921	1.02097300136024	0.694030465882039	0.0328982341319382	0.028312421436341	1.0198185049024	0.393646566379848
"200086_s_at"	0.0401477064341549	0.0264978394560254	1.01853661168463	0.511816631684286	0.0199242545647136	-0.0131070810223931	-1.00912653137156	0.51371621418487
