"standard_error_unadjusted"	"coefficient_unadjusted"	"fold_change_up_or_down_regulated_unadjusted"	"p_unadjusted"	"standard_error_adjusted"	"coefficient_adjusted"	"fold_change_up_or_down_regulated_adjusted"	"p_adjusted"
"201021_s_at"	0.178772570577596	-0.446939651683723	-1.36314558534845	0.0152173592836092	0.0583579135499777	-0.161227873549262	-1.11823846268011	0.00804941234882451
"201032_at"	0.0734042015429758	0.114680216754584	1.08273502328561	0.123563049354423	0.034916002524259	0.0703937094367247	1.05000318891342	0.0492905726726984
"201036_s_at"	0.107665618932931	0.303205684196646	1.23388307126515	0.00659856316669859	0.0502203068953139	0.150925118469268	1.11028120418414	0.00417465778264636
"201047_x_at"	0.113906735740679	-0.14730329075482	-1.10749738379654	0.200985300069856	0.0292449172792219	-0.0995676883815211	-1.07145234775264	0.00132989692543166
"201056_at"	0.0580228426250544	0.13425991294811	1.09752964843559	0.0241742188765977	0.0443741640219766	0.0992137900979775	1.07118954887132	0.0299494235719137
"201057_s_at"	0.0752169980037887	0.0421652511879979	1.02965801720463	0.57720559895034	0.036003872414549	0.104445347067919	1.07508098953353	0.00555765365472882
"201059_at"	0.0737110513642103	0.2693819466531	1.20529136791842	0.000549527174753368	0.0342616419323987	0.097176308595731	1.06967780287534	0.00661739365465365
"201060_x_at"	0.109177386395258	0.16852065222086	1.12390543453148	0.128044763558377	0.035970214690218	0.0878502037891352	1.06278531875707	0.0182476705983255
"201061_s_at"	0.127233853005759	0.221887704024186	1.16625858744043	0.0863785619034445	0.0456992826639425	0.10667883937581	1.07674665323649	0.0237196963849434
"201069_at"	0.0382840913313184	-0.0169359427616563	-1.01180827463508	0.65983502671712	0.0247637686218139	-0.05787444387585	-1.04093100268947	0.0235668648380326
"201071_x_at"	0.0625457169963174	-0.0315459597189525	-1.02210680586394	0.615882383254675	0.028242432661533	-0.0585687407542713	-1.04143207121507	0.043376410190677
"201076_at"	0.0900610331832621	-0.149429736236138	-1.1091309717564	0.102381576863736	0.0400958906361552	-0.0941802498334771	-1.06745869763971	0.0229073613267191
"201078_at"	0.145825772015614	-0.286098645168227	-1.21933846424979	0.0544945633651212	0.0336714987139256	-0.108397523131187	-1.07803014674678	0.00228236994132281
